name, mode, nins, nkey, nouts, size, nmuls, depth, degree, lin.κ, lz.κ
add, , 2, 0, 1, 1, 0, 1, 1, 10 | 6, 4 | 4
addmul, , 2, 1, 1, 2, 0, 2, 2, 12 | 7, 5 | 5
factor-fast, , 2, 0, 1, 2, 1, 2, 2, 13 | 8, 6 | 6
factor-slow, , 2, 0, 1, 5, 3, 3, 2, 15 | 10, 6 | 6
mul, , 2, 0, 1, 1, 1, 1, 2, 11 | 6, 4 | 4
sub, , 2, 0, 1, 1, 0, 1, 1, 10 | 6, 4 | 4
test, , 2, 2, 2, 3, 0, 3, 1, 12 | 8, 5 | 5
twomuls, , 2, 1, 2, 3, 2, 3, 4, 15 | 8, 6 | 6
aes1r, c2a, 128, 129, 128, 22791, 12752, 37, 18404, 58733 | 58602, 108148 | 29492
aes1r, c2c, 128, 129, 128, 24304, 13402, 40, 14900, 47160 | 47030, 110752 | 22692
aes1r, dsl, 128, 130, 128, 23400, 6900, 26, 417, 63215 | 63085, 3473 | 945
b0, c2a, 128, 129, 1, 1090, 540, 32, 6460, 20770 | 20639, 10300 | 10300
b0, c2c, 128, 129, 1, 1174, 579, 37, 8404, 26725 | 26594, 12824 | 12824
b0, dsl, 128, 130, 1, 1463, 736, 25, 225, 34031 | 33901, 557 | 557
b0_2, c2a, 2, 129, 1, 7, 0, 4, 4, 18 | 13, 7 | 7
b0_2, c2c, 2, 129, 1, 8, 0, 5, 4, 19 | 15, 7 | 7
b0_2, dsl, 2, 130, 1, 770, 328, 25, 225, 887 | 883, 235 | 235
b0_3, c2a, 3, 129, 1, 22, 0, 9, 12, 45 | 39, 21 | 21
b0_3, c2c, 3, 129, 1, 16, 0, 9, 12, 46 | 40, 21 | 21
b0_3, dsl, 3, 130, 1, 775, 332, 25, 225, 1409 | 1404, 240 | 240
b0_4, c2a, 4, 129, 1, 22, 0, 9, 20, 69 | 62, 30 | 30
b0_4, c2c, 4, 129, 1, 24, 0, 11, 22, 78 | 71, 36 | 36
b0_4, dsl, 4, 130, 1, 776, 332, 25, 225, 2103 | 2097, 245 | 245
b0_5, c2a, 5, 129, 1, 48, 0, 14, 42, 143 | 135, 72 | 72
b0_5, c2c, 5, 129, 1, 41, 0, 16, 48, 164 | 156, 79 | 79
b0_5, dsl, 5, 130, 1, 797, 352, 25, 225, 2645 | 2638, 250 | 250
b0_6, c2a, 6, 129, 1, 64, 0, 18, 86, 276 | 267, 130 | 130
b0_6, c2c, 6, 129, 1, 76, 0, 19, 100, 313 | 305, 148 | 148
b0_6, dsl, 6, 130, 1, 798, 352, 25, 225, 3599 | 3591, 255 | 255
b0_7, c2a, 7, 129, 1, 126, 0, 21, 194, 634 | 624, 305 | 305
b0_7, c2c, 7, 129, 1, 141, 2, 25, 254, 801 | 792, 377 | 377
b0_7, dsl, 7, 130, 1, 803, 356, 25, 225, 4257 | 4248, 260 | 260
b0_8, c2a, 8, 129, 1, 209, 43, 25, 384, 1234 | 1223, 592 | 592
b0_8, c2c, 8, 129, 1, 244, 59, 29, 494, 1559 | 1549, 752 | 752
b0_8, dsl, 8, 130, 1, 804, 356, 25, 225, 5307 | 5297, 265 | 265
b0_16, c2a, 16, 129, 1, 209, 43, 25, 384, 1250 | 1231, 600 | 600
b0_16, c2c, 16, 129, 1, 244, 59, 29, 494, 1575 | 1557, 760 | 760
b0_16, dsl, 16, 130, 1, 804, 356, 25, 225, 5323 | 5305, 273 | 273
b0_32, c2a, 32, 129, 1, 209, 43, 25, 384, 1282 | 1247, 616 | 616
b0_32, c2c, 32, 129, 1, 244, 59, 29, 494, 1607 | 1573, 776 | 776
b0_32, dsl, 32, 130, 1, 804, 356, 25, 225, 5355 | 5321, 289 | 289
b0_64, c2a, 64, 129, 1, 606, 264, 34, 2906, 9453 | 9386, 4654 | 4654
b0_64, c2c, 64, 129, 1, 672, 300, 33, 2832, 9029 | 8962, 4348 | 4348
b0_64, dsl, 64, 130, 1, 1116, 532, 25, 225, 14959 | 14893, 381 | 381
f1_16, c2a, 16, 17, 1, 358, 181, 21, 552, 1708 | 1689, 748 | 748
f1_16, c2c, 16, 17, 1, 333, 178, 21, 552, 1695 | 1676, 748 | 748
f1_16, dsl, 16, 17, 1, 251, 158, 15, 20, 728 | 706, 52 | 52
f1_32, c2a, 25, 33, 1, 700, 366, 23, 1128, 3444 | 3416, 1525 | 1525
f1_32, c2c, 25, 33, 1, 655, 360, 24, 1128, 3437 | 3409, 1525 | 1525
f1_32, dsl, 25, 33, 1, 648, 436, 19, 30, 4713 | 4681, 80 | 80
f1_64, c2a, 36, 65, 1, 2040, 1116, 30, 5700, 17256 | 17217, 7626 | 7626
f1_64, c2c, 36, 65, 1, 1958, 1110, 32, 5700, 17186 | 17148, 7626 | 7626
f1_64, dsl, 36, 65, 1, 1382, 911, 20, 42, 11643 | 11599, 114 | 114
f1_128, c2a, 49, 129, 1, 4119, 2235, 35, 11460, 34907 | 34855, 15319 | 15319
f1_128, c2c, 49, 129, 1, 3884, 2223, 35, 11460, 34492 | 34441, 15319 | 15319
f1_128, dsl, 49, 129, 1, 3027, 1984, 22, 56, 34019 | 33961, 154 | 154
f1_128_2, dsl, 98, 129, 2, 6054, 4050, 22, 56, 34117 | 34010, 252 | 203
f3_4, c2a, 8, 21, 1, 5049, 2676, 207, 1333593010092001728, [overflow] | [overflow], [overflow] | [overflow]
f3_4, c2c, 8, 21, 1, 4517, 2243, 214, 13616045857358347088, [overflow] | [overflow], [overflow] | [overflow]
f3_4, dsl, 8, 24, 1, 4695, 2332, 217, 14888886738940665998, [overflow] | [overflow], [overflow] | [overflow]
fa_8, dsl, 9, 81, 1, 382, 129, 20, 162, 417 | 405, 171 | 171
fa_16, dsl, 17, 289, 1, 1402, 460, 25, 578, 1873 | 1853, 595 | 595
fa_32, dsl, 33, 1089, 1, 5362, 1737, 30, 2178, 9441 | 9405, 2211 | 2211
fa_64, dsl, 65, 4225, 1, 20962, 6749, 35, 8450, 50833 | 50765, 8515 | 8515
fa_128, dsl, 129, 16641, 1, 82882, 26600, 40, 33282, 284577 | 284445, 33411 | 33411
ggm_1_16, dsl, 4, 17, 16, 2879, 1048, 12, 8, 195 | 185, 16 | 16
ggm_1_32, dsl, 4, 33, 32, 12739, 6410, 14, 9, 260 | 250, 17 | 17
ggm_2_16, dsl, 8, 17, 16, 5624, 2089, 24, 36, 19879 | 19861, 64 | 64
ggm_2_32, dsl, 8, 33, 32, 25023, 12587, 28, 49, 69380 | 69362, 81 | 81
ggm_3_16, dsl, 12, 17, 16, 8173, 3030, 36, 148, 2220575 | 2220549, 244 | 244
ggm_3_32, dsl, 12, 33, 32, 37502, 18834, 42, 249, 19962324 | 19962298, 385 | 385
ggm_4_16, dsl, 16, 17, 16, 11031, 4057, 48, 596, 248685543 | 248685509, 952 | 952
ggm_4_32, dsl, 16, 33, 32, 49732, 25088, 56, 1249, [overflow] | [overflow], 1889 | 1889
linearParts, c2a, 128, 1, 128, 3656, 1991, 12, 52, 429 | 298, 1172 | 216
linearParts, c2c, 128, 1, 128, 3656, 1764, 13, 52, 432 | 302, 1146 | 206
mapper_2, c2a, 2, 5, 2, 44, 18, 11, 25, 79 | 74, 32 | 32
mapper_2, c2c, 2, 5, 2, 40, 15, 11, 25, 79 | 73, 32 | 32
mapper_4, c2a, 4, 9, 4, 201, 97, 26, 2436, 7367 | 7360, 3036 | 3036
mapper_4, c2c, 4, 9, 4, 315, 154, 54, 132864, 408184 | 408178, 166068 | 166068
mapper_8, c2a, 8, 17, 8, 5096, 2687, 202, 16816335980488077128, [overflow] | [overflow], [overflow] | [overflow]
prg_16_16, c2a, 16, 1, 16, 214, 114, 8, 12, 75 | 56, 82 | 38
prg_16_16, c2c, 16, 1, 16, 204, 100, 8, 14, 81 | 62, 92 | 38
prg_16_16, dsl, 16, 1, 16, 215, 78, 7, 4, 47 | 29, 40 | 21
prg_16_32, c2a, 16, 1, 32, 367, 204, 8, 12, 75 | 56, 89 | 38
prg_16_32, c2c, 16, 1, 32, 357, 184, 9, 14, 81 | 62, 96 | 38
prg_16_32, dsl, 16, 1, 32, 399, 144, 7, 4, 47 | 29, 41 | 21
prg_16_48, c2a, 16, 1, 47, 485, 255, 9, 12, 75 | 56, 90 | 38
prg_16_48, c2c, 16, 1, 48, 543, 282, 9, 14, 81 | 62, 102 | 38
prg_16_48, dsl, 16, 1, 48, 586, 212, 7, 4, 47 | 29, 43 | 21
prg_16_64, c2a, 16, 1, 64, 622, 330, 9, 12, 75 | 56, 90 | 38
prg_16_64, c2c, 16, 1, 64, 738, 388, 9, 14, 81 | 62, 110 | 38
prg_16_64, dsl, 16, 1, 64, 765, 271, 7, 4, 47 | 29, 45 | 21
prg_32_32, c2a, 32, 1, 32, 467, 252, 8, 12, 107 | 72, 160 | 54
prg_32_32, c2c, 32, 1, 32, 438, 217, 9, 14, 113 | 78, 174 | 54
prg_32_32, dsl, 32, 1, 32, 822, 411, 9, 5, 95 | 61, 74 | 39
prg_32_64, c2a, 32, 1, 64, 980, 552, 8, 12, 107 | 72, 168 | 54
prg_32_64, c2c, 32, 1, 64, 831, 429, 9, 14, 113 | 78, 180 | 54
prg_32_64, dsl, 32, 1, 64, 1611, 821, 9, 5, 96 | 62, 84 | 39
prg_32_96, c2a, 32, 1, 96, 1126, 592, 9, 12, 107 | 72, 170 | 54
prg_32_96, c2c, 32, 1, 96, 1235, 645, 9, 14, 113 | 78, 184 | 54
prg_32_96, dsl, 32, 1, 96, 2375, 1210, 9, 5, 96 | 62, 86 | 39
prg_32_128, dsl, 32, 1, 128, 3114, 1583, 9, 5, 96 | 62, 88 | 39
sbox, dsl, 8, 1, 8, 1202, 303, 11, 8, 1257 | 1240, 24 | 24
sbox_, c2a, 8, 1, 8, 1168, 672, 24, 220, 713 | 702, 376 | 359
sbox_, c2c, 8, 1, 8, 1287, 728, 26, 250, 809 | 798, 397 | 387
ggm_sigma_1_16, dsl, 16, 17, 16, 2791, 1007, 12, 5, 16 | 12, 36 | 6
ggm_sigma_1_32, dsl, 16, 33, 32, 12837, 6491, 14, 6, 21 | 17, 37 | 7
ggm_sigma_2_16, dsl, 32, 17, 16, 5451, 1976, 24, 21, 72 | 66, 128 | 25
ggm_sigma_2_32, dsl, 32, 33, 32, 24923, 12528, 28, 31, 225 | 219, 153 | 34
ggm_sigma_3_16, dsl, 48, 17, 16, 8247, 2997, 36, 85, 404 | 396, 448 | 94
