name, mode, nins, nkey, nouts, ngates, nmuls, depth, degree, nencodings, lin.nenc, lz.nenc, mife.nenc, lin.κ, lz.κ, mife.κ
aes1r, dsl, 128, 130, 128, 22368, 5600, 26, 57,     66691, 66307, 33669,     23129 | 22999, 567 | 239, 440 | 128
aes1r, o1, 128, 130, 128, 22368, 5600, 26, 57,     66691, 66307, 33669,     23129 | 22999, 567 | 239, 440 | 128
aes1r, o2, 128, 130, 128, 80564, 9203, 25, 33,     66691, 66307, 33669,     15804 | 15674, 289 | 193, 162 | 128
aes1r_2_1, dsl, 2, 130, 1, 756, 365, 23, 41,     151, 148, 273,     204 | 200, 45 | 45, 44 | 44
aes1r_2_1, o1, 2, 130, 1, 87, 14, 19, 6,     151, 148, 273,     641 | 637, 10 | 10, 9 | 9
aes1r_2_1, o2, 2, 130, 1, 87, 14, 19, 6,     151, 148, 273,     641 | 637, 10 | 10, 9 | 9
aes1r_2_1, o3, 2, 3, 1, 4, 1, 3, 2,     24, 21, 19,     11 | 7, 4 | 4, 3 | 3
aes1r_4_1, dsl, 4, 130, 1, 762, 369, 23, 41,     167, 164, 283,     511 | 505, 49 | 49, 46 | 46
aes1r_4_1, o1, 4, 130, 1, 143, 42, 19, 7,     167, 164, 283,     1502 | 1496, 15 | 15, 12 | 12
aes1r_4_1, o2, 4, 130, 1, 143, 42, 19, 7,     167, 164, 283,     1502 | 1496, 15 | 15, 12 | 12
aes1r_4_1, o3, 4, 3, 1, 44, 17, 7, 5,     40, 37, 29,     75 | 69, 9 | 9, 6 | 6
aes1r_8_1, dsl, 8, 130, 1, 790, 393, 23, 41,     199, 196, 303,     1318 | 1308, 57 | 57, 50 | 50
aes1r_8_1, o1, 8, 130, 1, 321, 178, 19, 10,     199, 196, 303,     4869 | 4859, 26 | 26, 19 | 19
aes1r_8_1, o2, 8, 130, 1, 321, 178, 19, 10,     199, 196, 303,     4869 | 4859, 26 | 26, 19 | 19
aes1r_8_1, o3, 8, 3, 1, 1282, 389, 15, 9,     72, 69, 49,     3525 | 3515, 17 | 17, 10 | 10
aes1r_16_1, dsl, 16, 130, 1, 790, 393, 23, 41,     263, 260, 343,     1334 | 1316, 65 | 65, 50 | 50
